nodo_id,tipo,etiqueta,grado,fuerza,intermediacion,cercania,articulacion,aumento_componentes,canales
autor:UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,2,2,0.010011524056467876,0.09876196451499941,True,1,2.0
autor:UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,@moisesvaldez4043,2,2,0.010011524056467876,0.12613204382826476,True,1,2.0
video:b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,7,0.008689344363501668,0.09982229235488436,True,6,
video:is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,7,0.008689344363501668,0.08186683599419448,True,6,
video:WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,6,6,0.007253981973083097,0.08064948527309122,True,5,
video:lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,25,25,0.0015434004198049142,0.04006410256410257,True,24,
video:OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,18,25,0.0007871342141005063,0.028846153846153848,True,17,
video:TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,4,3.0868008396098287e-05,0.00641025641025641,True,3,
video:JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,3,3,1.5434004198049143e-05,0.004807692307692308,True,2,
video:3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,2,5.144668066016381e-06,0.003205128205128205,True,1,
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor,@JorgeMunoz-gd9et,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor,@AlbertoMancilla-p9h,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor,@mariaalexander427,1,2,0.0,0.014835164835164835,False,0,1.0
autor:UC-fiZBS5Gp1eCJd9ucgWnCg,autor,@Tommii.10,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC-hfX8J5JPJ-dfuakzegMLA,autor,@normaleticiaorozcojuarez2418,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC-jS_kA9w-OmpupXDx156Rg,autor,@simoncreyesc7579,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC-pNP6RMFuLg_-x7Ah_0kEA,autor,@almacatalan2717,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC094EFEmMSdwVa8NQjjYBXg,autor,@CelestinoQuej-j7k,1,1,0.0,0.08196994284053478,False,0,1.0
autor:UC0HvfEWozTHbwl_iEmJNvVA,autor,@OttoPalencia-b7r,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UC0RpuMwkDKJYqgKHtsJRuWQ,autor,@sabinamarinaguerra3248,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UC0aEyakBPqcBkVJiErfSupQ,autor,@jhonymanuel9891,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UC14qlobYKqD-DO0j6b75lcA,autor,@megavision4488,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UC1DpqK6vaPEkBOMNvypsKYg,autor,@HectorCarranza-u4j4o,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC1NiEdJ7gk6FlDexIalWnGg,autor,@BorisTebalán,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UC1WlJfQmaIskYhP4gmWoamw,autor,@marthareiss5434,1,1,0.0,0.014835164835164835,False,0,1.0
autor:UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,@rosadiaz9235,1,1,0.0,0.09571196266968325,False,0,1.0
autor:UC1vr9aaMI2crB0NvwFHUeoQ,autor,@JoseSimilox-p6e,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC2Y_EHWQKevubk4vOEBBFxw,autor,@alfonsomorales2653,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC2ngpd8UBQu4gcUYy0goAtg,autor,@juliohernandez7438,1,1,0.0,0.05739341676841677,False,0,1.0
autor:UC2weSE8rpqkGMOp6StYtVfg,autor,@katerynsantiago2907,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC32oozucwCF3q8d4m8fyOUg,autor,@RauldejesusOlivagonzalez,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC3E9mAgP7VoAE5mZoAexl5g,autor,@EnnioAroche,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC3MYTqpQqlWBuCB7Th0e0PA,autor,@isaaclopez7220,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC3NMzdMYryaw82kPTnsaljg,autor,@marisosa7832,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC3UVO7pTbeYvZ3ILEyRDskQ,autor,@rosaelenaargueta79,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC3XTwHxygNCgjndsg-UiCQA,autor,@marioajset4283,1,3,0.0,0.12444385203706428,False,0,1.0
autor:UC3YpzAr7pcdKC7BVFEpYzog,autor,@carmenfigueroa1232,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UC3iIU62XKUOWuqL8BqBzj9A,autor,@antonioduarte2288,1,1,0.0,0.08196994284053478,False,0,1.0
autor:UC3qn1yJA5PeW9rkGPatQxiw,autor,@VICTOREST19,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC4Avya4kmR4Q0FrfFdBozSQ,autor,@davidlima1348,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC4cXueR2bKGFJV0Fk76gwmA,autor,@aluxdel4792,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC4kg7zuTfqQKLd2bkZrSYBA,autor,@zoilagarcia9019,1,1,0.0,0.06946012232164847,False,0,1.0
autor:UC4wq3DcbfaG6dtCqn8Oyu3w,autor,@hugoasencio7764,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC5H8ASmMC9WrURmzeB4ySog,autor,@ManuelEdran,1,5,0.0,0.12444385203706428,False,0,1.0
autor:UC5PrBbmUlQolwqmiru7yZhw,autor,@lazarochavez8269,1,1,0.0,0.08196994284053478,False,0,1.0
autor:UC5PyGvSfFM--OVKmQ3COu6g,autor,@FreddyGmez,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UC5bG9nc_JV3FsNP2KseQiYw,autor,@giovannirodas4836,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC5fvhAfm89JH8eDFdvc0xYw,autor,@isaidiaz2388,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,@leonelsantizo5281,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC5wuDq3U3vRAhOQI3D7gNdw,autor,@allanreneramirezgonzalez534,1,1,0.0,0.09418832795279973,False,0,1.0
autor:UC63tFvbQ_hJhGDi2nbjssjw,autor,@AbigailRodas-w2r,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UC650pRT-OYzny3GwOH8Cgfw,autor,@edvinparedesherrera7632,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC6PvO1_k5lHKGdAPo5_C6TA,autor,@johnmejia992,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC6Uj1FT5JjDSF8vudvDxPAA,autor,@alfredoortega9264,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC6YSZqL0vEcI-niPKIMUGfw,autor,@maxwellsales885,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC6xI_MOaxajIWpoP8BH6E_Q,autor,@jahirdiaz5862,1,1,0.0,0.0016025641025641025,False,0,1.0
autor:UC72gBAtyb_VXQlYDcFrh6oQ,autor,@osmanmorales3012,1,3,0.0,0.12444385203706428,False,0,1.0
autor:UC7IMsCxfZyWN7YQo8-JYa6Q,autor,@Burgos68,1,2,0.0,0.09571196266968325,False,0,1.0
autor:UC7VUuJr9cGh845CmTvf7TlQ,autor,@LuisCastillo-oz4df,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC7dadZG7kkGYnsNu6td0FbA,autor,@lesolorzano,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC816IGbFCZinfYS1LRDaaHg,autor,@ingenieroar,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC8F2V63KZ4ZEay6opX2hAQw,autor,@carmenr6311,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC8G5cJONY8L9voMyBW8Eoug,autor,@luisparedes-pw6qt,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC8r11yOugM2NuRfitQOxLLg,autor,@cesaraugustomoralesmonroy6907,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UC8xlJWNHz1V_W6q3fbuQH8g,autor,@NormaLópez-v7e,1,1,0.0,0.09571196266968325,False,0,1.0
autor:UC95PSMouTx2N5CbSq0hIyrQ,autor,@lisss1908,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UC9Wp6vL5oCU37qC3Aj94WZA,autor,@ManuelSanchez-b8q2z,1,1,0.0,0.08196994284053478,False,0,1.0
autor:UC9vMq1YF-e7C-VO0SHkbUTA,autor,@ErvinLeonardoCarreraLatín,1,4,0.0,0.12444385203706428,False,0,1.0
autor:UC9xr9QvIcDvoZNUX5f-jaZw,autor,@MariaaliciaColonmorales,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,@oswaldosolis8728,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCAKuKvcbfnBD3kF5njNu-IA,autor,@melvinlopez7096,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCAV7QIjYhbDJaycQycM_0eQ,autor,@mariavail8998,1,1,0.0,0.09571196266968325,False,0,1.0
autor:UCAlzM_N6xBlMYmM8EBzX86Q,autor,@carlossoto3252,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCAmtbUiIrUIhikru0ZoTFig,autor,@Aura-vf6dm,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,1,2,0.0,0.05739341676841677,False,0,1.0
autor:UCB5p8a5gklc80jJItP6xTHg,autor,@ernestogamboa8737,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCBlm80VQ4YoV3bUJR_XhkaQ,autor,@rosadiaz6945,1,2,0.0,0.014835164835164835,False,0,1.0
autor:UCBtB5dIyx-C16UN8ClUD2UA,autor,@alexmonzon4257,1,1,0.0,0.06946012232164847,False,0,1.0
autor:UCCBYcToQ2dwkd6TJh0FSyDg,autor,@lidiarodriguez3493,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCCUmP4PlbwgikVFpYwbtRTg,autor,@alhvi,1,1,0.0,0.06931217743917424,False,0,1.0
autor:UCCaYwkkbQGcvFoUmothVdQQ,autor,@OsvaldoAguirre-l3i,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCDIMztpVm7G27qBuiWuT6oQ,autor,@lizardomorataya8274,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCDPWkUX3sNNaCx-m1dV4glA,autor,@hectoroliva949,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCDQaQv0hr2SS_PO-CMEwVHg,autor,@federicosaquimux1933,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCDUffaruH6dyUnUGwsTKpgg,autor,@luisletona2842,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCDftMWXQoJ6nONfY7GVOVjg,autor,@luisgpacheco5858,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCDlr1VadSucIZgZ171pRBjQ,autor,@cuabatzjj5924,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCDrmf9y9nLgFY5wnA2hTuGA,autor,@laboratorio5528,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCEHXl4VvvVpq-_4xC5tsbhg,autor,@anibalg47,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UCEgEQmRbtL5fwr9_DqAC--g,autor,@ArielRodas-g5y,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCErZPJpHmLCsXs8ZWkAUupQ,autor,@dorisl.garciaroche7763,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCFFrEmn6lPYiWyElpfzTy5Q,autor,@denilsonlopez4083,1,1,0.0,0.06946012232164847,False,0,1.0
autor:UCFOxCyF926Y9eHhMeVoWLzw,autor,@arielsarc09,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCFUuDARXdmmIrLppEqf-rFg,autor,@allanmunoz7410,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCFhxtoeARHPnXXPcDrOU3Xg,autor,@diegoalejandrolopezmendez205,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCFjudnPLoaSL1BaRuLahyHg,autor,@HaroldoCastillo-rh9iw,1,3,0.0,0.12444385203706428,False,0,1.0
autor:UCFoIAE8k82D6AV-8gjjKaNg,autor,@eddymunoz9789,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCFxE8GbokBrBsPEKM1xrOjQ,autor,@JuanDavila-qd7qj,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCFybmWapGvBKcQod7cPPH9w,autor,@vitalianochavez8382,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UCGGHbtfbbe0o68etrOf0qxw,autor,@karensussetteleonvargas9794,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCGX_UbAQOXGZknv5iqklwTA,autor,@ronaldgarcia8522,1,1,0.0,0.09571196266968325,False,0,1.0
autor:UCGZMgmM92E3njyXNe9-kjAQ,autor,@pasionpornada,1,1,0.0,0.014835164835164835,False,0,1.0
autor:UCGj2v6Gl5bN8NSrzJMXS-CA,autor,@juliogutierrez492,1,1,0.0,0.06858180676015238,False,0,1.0
autor:UCGm3gRBEHGRJYmtCryZLtDw,autor,@JoséLopez-g6k,1,1,0.0,0.08196994284053478,False,0,1.0
autor:UCGqKxQS-z3NZzZF-2w338AA,autor,@samuelaguilar529,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCGzXwyCzMzGmjmCbH3Hg01Q,autor,@FidelZacarias-ph7dy,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCHGd14aYuZZShLD73dkk6mg,autor,@noemiherrera3152,1,1,0.0,0.0028846153846153848,False,0,1.0
autor:UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,@crislexrubi4387,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCHbwIx9pmQuf7i-4_xO2EpA,autor,@caminoseternos752,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCHhHUjaMAZ8SiXdCUCj9DkQ,autor,@fredymendez1786,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCHu8x4MVkayU6VgwVKd--MQ,autor,@Hernandez-i1o,1,1,0.0,0.08196994284053478,False,0,1.0
autor:UCIUhbSCy3-SGRe5UtqM4fzQ,autor,@jeanmorales1677,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCIXLDYqR_syskKRJy_x9W9Q,autor,@carlitosramirez4739,1,1,0.0,0.05739341676841677,False,0,1.0
autor:UCIgoiXdIKJyUGmUoH2Lxdzg,autor,@susievidal4134,1,1,0.0,0.014835164835164835,False,0,1.0
autor:UCIp19h9igblA2YKfSLPDAug,autor,@JoseReyes-rn6sh,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCJp3OrVYcBorC94sKwdch_A,autor,@ULJoshmg2011,1,1,0.0,0.09418832795279973,False,0,1.0
autor:UCJxJC56BSAX-ArD0NAb9qnQ,autor,@alfonsowilian9157,1,1,0.0,0.0021367521367521365,False,0,1.0
autor:UCKDR0f2fu2UzWL8mBv5-BHw,autor,@mireyamorales6595,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCKVzDUqbtdSMBcexaEtMmzQ,autor,@rotorairgroup8409,1,1,0.0,0.0036630036630036626,False,0,1.0
autor:UCL13XhnRzbGokEkCkEOb0-g,autor,@raquelprado3643,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCL1MT278vSaQ83ZDkVWn1gw,autor,@elmorodriguez6978,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCLFdHr9BEbXHkoJopbEPLZw,autor,@kanterra4584,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCLXYp1Cvc5DLtq5UQL5D9vw,autor,@jorgecifuentes-m5g,1,1,0.0,0.05739341676841677,False,0,1.0
autor:UCLggDc_a5HriXv7I1h02sOA,autor,@guillermogonzalez5153,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCLh1Kde4_vI1sTZBkTNP7RQ,autor,@JoelReynoso-d4r,1,1,0.0,0.06946012232164847,False,0,1.0
autor:UCN2N_wYOw6fMwCeSzdXLPIw,autor,@danielantoniogonzalezflore4901,1,1,0.0,0.09571196266968325,False,0,1.0
autor:UCN6qbfPSzFtjhqUDZ3Cv3CQ,autor,@carlosmedranovelasquez6380,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCNBnKqWf4d-rS4HwJRQljmQ,autor,@LE_A22,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCNIeXbV_mEwpa412h1aqUWw,autor,@juandeleon9060,1,3,0.0,0.09571196266968325,False,0,1.0
autor:UCNiMNUJvaRJb0_QLClqwVnA,autor,@Santiago.Nolasco,1,1,0.0,0.0036630036630036626,False,0,1.0
autor:UCNkcuy42zEwddwEcOd_HpnA,autor,@vanigomez492,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCNpt5CQlTzNjlAKY6CJtClQ,autor,@eustaquiogomez9975,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCO0zwwLWGyDgQmWPJ5Qrr1w,autor,@elsalvador3605,1,1,0.0,0.05739341676841677,False,0,1.0
autor:UCOARn3hnfkB7-_Rwa8Hoqcw,autor,@nicelol5241,1,1,0.0,0.06858180676015238,False,0,1.0
autor:UCOLGv5Pf6BF2wFcwUzgcvHg,autor,@welfrealdana5559,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,@luisroldan7374,1,1,0.0,0.014835164835164835,False,0,1.0
autor:UCOS8ViEkccrTZx2w2ccxotA,autor,@OscarHernandez-q8y,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCOY3XpD9qMCRSA8AA8c4CAw,autor,@franciscorodas9686,1,1,0.0,0.06931217743917424,False,0,1.0
autor:UCOcUI5XkTYNMSFhZNMIPpGg,autor,@hendersonlopez3864,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCOh6DaZC_x9HASnlRylEMfw,autor,@AndresMedina-v1s,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCPLW0HE3siElqCgXfgWxMqg,autor,@elizabethmonterroso7719,1,1,0.0,0.0016025641025641025,False,0,1.0
autor:UCPNXmbOBVeC4HS-xemvcPtQ,autor,@BelkisRodriguezRamirez,1,1,0.0,0.014835164835164835,False,0,1.0
autor:UCPZueDLrCS4BmTBRMA4q0fA,autor,@kevinochoa3695,1,1,0.0,0.09571196266968325,False,0,1.0
autor:UCQIdKuZ-OzuFqy0KjGrgesg,autor,@lyacausa,1,1,0.0,0.0028846153846153848,False,0,1.0
autor:UCQM2tCKRRytVDRxNUfCDqQQ,autor,@elioelias7267,1,1,0.0,0.0016025641025641025,False,0,1.0
autor:UCQMMuADgqWUOcJpLwHOzC-g,autor,@Ripped-Yoda,1,1,0.0,0.014835164835164835,False,0,1.0
autor:UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,@MegaKristenstewart,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCQgYjVngJRfPHDLGB5X6ZjA,autor,@oscarnavas9996,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCQqetiwzzmRNTM5OWuXarGQ,autor,@isaiaslopezvelasquez1539,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCQqlPPUGqAfWjd-FSh_qn7Q,autor,@estuardoargueta137,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCQtICyzWmhC5woCtbNgaSmg,autor,@nestormendez6216,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCQtSFINs1h6GHkpg9o5kMvg,autor,@MacarioMartinezruiz,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCQyOePccUP-fIJYzchAgZYw,autor,@aguilar4254,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCRAquv8el-tQ30bN7MlmySQ,autor,@iamjimalesssa,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCRETAiYdh2dL5ZxB0_N1zDA,autor,@Joseroland21,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCRcSR3Lvn9DZAmJpVPANfZQ,autor,@WalksandSuch,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCRelkU8JiZBytTzebJxaa-w,autor,@danyraymundo2942,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCRfkkatKrNtAARnXMMYBGlA,autor,@BernerSoza-mg3vx,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UCRlCV9zSn7avAWh-9_XFWqQ,autor,@ronyarana8849,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCRvPToDkkumha7WJAfCDk1A,autor,@ligiaguerra3057,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCRznz9-N3Qc1w-qNdLSIY2Q,autor,@jimmygomez724,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCSTAUWVc1_82DHYeqOsqEFA,autor,@TheAlexX_C,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCSou6a2OuYGSvPjm5psquyA,autor,@FranciscoRivera-sf7ne,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCTD6q1nyIe3Y7HhqjaMj72w,autor,@JuanChang-r6k,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCTP3O0rMnc8z8v8jaDQwL0w,autor,@RobertoZelaya-x1v,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCTTILH6QCIxbTnEWxwRqs1g,autor,@3762Jorge,1,1,0.0,0.06931217743917424,False,0,1.0
autor:UCThW2XNsAaBKme5PUt7n-Zg,autor,@thelmamoran8565,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCTwSut16JyAg3mX6LVUNGqA,autor,@SuperVictor2005,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCTylKrsqkrBKIqubMu_5N0Q,autor,@edwingeovanymarroquinmarro6684,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCUIIIPTVDVHAXqhC_5V6lPA,autor,@gorrarota,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCUoYsrx1oZnCZ0usbBJn4fA,autor,@AnaDiaz-re9sq,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCV0iizTBoOfdAFX_thfI9BA,autor,@BenjaminLarios-jd8nk,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCV0lM03g5fg5pbPj97-sAtA,autor,@genarodelgado3929,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCV3fr-YOixFKCZBbJP1-X4w,autor,@albertoshernandez5251,1,5,0.0,0.07438186813186813,False,0,1.0
autor:UCVC2QugcI1G4RvlCiUqd1aQ,autor,@rwdm76,1,2,0.0,0.09418832795279973,False,0,1.0
autor:UCVQf0tzL7xRzFJsABVVULpg,autor,@DennisseLopetegi,1,1,0.0,0.09571196266968325,False,0,1.0
autor:UCVdjCrh4tQoX3haNAZv-n5A,autor,@aurahernandez5646,1,1,0.0,0.014835164835164835,False,0,1.0
autor:UCVhif9eV0f8plICen2DnpKA,autor,@blogarteplus,1,1,0.0,0.06858180676015238,False,0,1.0
autor:UCW-JC6lebVmf2P1dmY_L94g,autor,@dinoraoroxon5771,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCW80DaMjQlEUibC98Cot-Dg,autor,@rogeraldana4289,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCWIZUtKJ636y-4TYrNvok0g,autor,@cesarandreas7824,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCWWkebAekppaL5b5CNlppuw,autor,@ninettmartinez425,1,1,0.0,0.0028846153846153848,False,0,1.0
autor:UCWaRixDdpgllTBf4V0jPnKQ,autor,@hectormaaz5523,1,2,0.0,0.07438186813186813,False,0,1.0
autor:UCWoAVGVqCn4xtINCMOTM4jg,autor,@OmarMartinez-vv8re,1,1,0.0,0.09772392584892585,False,0,1.0
autor:UCWvntqPQx99k_Z_skWKqNSA,autor,@AntonioChiyal-x5s,1,1,0.0,0.07438186813186813,False,0,1.0
autor:UCXN2s7DwTJm33xO-pNkAdaA,autor,@edithsan7688,1,1,0.0,0.05739341676841677,False,0,1.0
autor:UCXO1BBohNWXkK9SBDAG2ySg,autor,@JBFlute92,1,1,0.0,0.06931217743917424,False,0,1.0
autor:UCXSkL3ejZ8qWYyF_M7s_QKA,autor,@JacintaTzoy,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCXVLc8CmAO813ubM-fLvCDw,autor,@herminiasaquimux7565,1,1,0.0,0.06931217743917424,False,0,1.0
autor:UCXXh7yg5KUFIWylTiKVEFKQ,autor,@MrDuenderojo,1,2,0.0,0.12444385203706428,False,0,1.0
autor:UCXgr7vXlRrsaskPdo097kGA,autor,@Rogergh-nw4oj,1,1,0.0,0.12444385203706428,False,0,1.0
autor:UCXl30Y_upRqbti52fmjK4YA,autor,@capitanfrans,1,1,0.0,0.06931217743917424,False,0,1.0
autor:UCXmrpc6Li0spcKxtS0Q_ptg,autor,@melvinperez6710,1,1,0.0,0.020440868655154373,False,0,1.0
autor:UCXr8_5WtGeipe4haOoQDgyQ,autor,@amyherrera7352,1,1,0.0,0.12444385203706428,False,0,1.0
